,BucketLength,NumHashTables,Acc
101,55,100,0.4453999999999995
99,55,80,0.44299999999999956
17,25,40,0.43919999999999915
79,50,10,0.43719999999999903
94,55,30,0.43579999999999974
53,40,10,0.43539999999999923
76,45,110,0.4349999999999993
81,50,30,0.4345999999999995
100,55,90,0.43379999999999935
80,50,20,0.4331999999999989
19,25,60,0.4327999999999994
93,55,20,0.43259999999999926
108,60,40,0.4317999999999995
97,55,60,0.4313999999999995
116,60,120,0.43039999999999945
113,60,90,0.4301999999999996
22,25,90,0.42979999999999924
20,25,70,0.42979999999999907
86,50,80,0.42959999999999915
12,20,120,0.42899999999999955
51,35,120,0.4289999999999993
60,40,80,0.42879999999999935
30,30,40,0.428599999999999
10,20,100,0.4283999999999994
75,45,100,0.42779999999999946
66,45,10,0.42759999999999954
84,50,60,0.4275999999999994
83,50,50,0.42759999999999926
31,30,50,0.4275999999999991
35,30,90,0.4265999999999994
102,55,110,0.42559999999999903
92,55,10,0.42539999999999945
112,60,80,0.4253999999999991
2,20,20,0.425399999999999
48,35,90,0.42519999999999936
29,30,30,0.42519999999999897
11,20,110,0.4245999999999994
115,60,110,0.424399999999999
77,45,120,0.42439999999999894
40,35,10,0.4241999999999993
56,40,40,0.42379999999999945
89,50,110,0.4237999999999993
34,30,80,0.42379999999999907
63,40,110,0.4235999999999997
114,60,100,0.42359999999999937
73,45,80,0.42339999999999894
96,55,50,0.4233999999999989
39,35,1,0.42299999999999915
13,25,1,0.42259999999999964
105,60,10,0.4225999999999996
24,25,110,0.4219999999999993
42,35,30,0.4211999999999989
106,60,20,0.4209999999999992
88,50,100,0.4209999999999991
57,40,50,0.42059999999999925
98,55,70,0.4205999999999991
32,30,60,0.42039999999999916
74,45,90,0.41999999999999926
27,30,10,0.4199999999999992
28,30,20,0.41979999999999906
69,45,40,0.4193999999999994
85,50,70,0.41839999999999905
87,50,90,0.4181999999999994
26,30,1,0.41819999999999924
111,60,70,0.41799999999999937
82,50,40,0.41799999999999926
8,20,80,0.41779999999999873
78,50,1,0.4175999999999989
109,60,50,0.4173999999999993
72,45,70,0.41719999999999946
37,30,110,0.41679999999999895
14,25,10,0.41659999999999886
47,35,80,0.41579999999999967
38,30,120,0.4155999999999992
6,20,60,0.41559999999999914
16,25,30,0.4153999999999996
110,60,60,0.4147999999999995
25,25,120,0.41459999999999947
95,55,40,0.4143999999999997
61,40,90,0.4139999999999992
9,20,90,0.41299999999999937
5,20,50,0.4129999999999993
58,40,60,0.41299999999999903
3,20,30,0.4125999999999991
91,55,1,0.4121999999999989
62,40,100,0.4115999999999992
45,35,60,0.41159999999999913
52,40,1,0.4113999999999988
68,45,30,0.411199999999999
1,20,10,0.41099999999999925
90,50,120,0.41039999999999927
104,60,1,0.41039999999999904
21,25,80,0.4099999999999993
70,45,50,0.40999999999999925
23,25,100,0.40999999999999903
33,30,70,0.40979999999999883
43,35,40,0.4089999999999993
71,45,60,0.40859999999999924
49,35,100,0.40819999999999906
107,60,30,0.4077999999999988
50,35,110,0.4059999999999991
46,35,70,0.40519999999999934
44,35,50,0.4045999999999993
36,30,100,0.40439999999999926
4,20,40,0.4037999999999989
59,40,70,0.4027999999999992
64,40,120,0.4003999999999991
67,45,20,0.3999999999999989
41,35,20,0.39979999999999916
103,55,120,0.39939999999999914
15,25,20,0.3985999999999991
7,20,70,0.3981999999999991
55,40,30,0.3969999999999989
54,40,20,0.3955999999999992
65,45,1,0.393999999999999
0,20,1,0.39259999999999917
18,25,50,0.38639999999999886
